時間	感受性者	感染者	回復者	フェーズ
904.1	116464523.6	1636247.9	6899228.5	hammer
904.2	116435535.5	1641861.0	6922603.5	hammer
904.3	116406462.5	1647478.9	6946058.6	hammer
904.4	116377304.5	1653101.5	6969594.0	hammer
904.5	116348061.7	1658728.6	6993209.7	hammer
904.6	116318734.1	1664360.1	7016905.8	hammer
904.7	116289321.7	1669995.9	7040682.4	hammer
904.8	116259824.7	1675635.9	7064539.4	hammer
904.9	116230243.1	1681279.8	7088477.1	hammer
905.0	116200576.9	1686927.7	7112495.3	hammer
905.1	116170826.3	1692579.4	7136594.3	hammer
905.2	116140991.3	1698234.8	7160773.9	hammer
905.3	116111072.0	1703893.6	7185034.4	hammer
905.4	116081068.4	1709555.9	7209375.7	hammer
905.5	116050980.7	1715221.4	7233797.9	hammer
905.6	116020808.9	1720890.0	7258301.1	hammer
905.7	115990553.2	1726561.6	7282885.2	hammer
905.8	115960213.5	1732236.1	7307550.3	hammer
905.9	115929790.1	1737913.3	7332296.5	hammer
906.0	115899283.0	1743593.2	7357123.8	hammer
906.1	115868692.3	1749275.4	7382032.3	hammer
906.2	115838018.1	1754960.0	7407021.9	hammer
906.3	115807260.5	1760646.8	7432092.8	hammer
906.4	115776419.6	1766335.6	7457244.8	hammer
906.5	115745495.5	1772026.3	7482478.2	hammer
906.6	115714488.4	1777718.8	7507792.8	hammer
906.7	115683398.3	1783412.9	7533188.8	hammer
906.8	115652225.4	1789108.5	7558666.1	hammer
906.9	115620969.9	1794805.4	7584224.7	hammer
907.0	115589631.7	1800503.5	7609864.8	hammer
907.1	115558211.1	1806202.7	7635586.2	hammer
907.2	115526708.1	1811902.8	7661389.1	hammer
907.3	115495123.0	1817603.6	7687273.4	hammer
907.4	115463455.8	1823305.1	7713239.1	hammer
907.5	115431706.7	1829007.0	7739286.3	hammer
907.6	115399875.8	1834709.2	7765415.0	hammer
907.7	115367963.3	1840411.6	7791625.1	hammer
907.8	115335969.3	1846114.0	7817916.6	hammer
907.9	115303894.0	1851816.3	7844289.7	hammer
